dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01359;SAINT-GERMAIN-SUR-RENON;AIN;122.75158;167.93547;173.42279;183.26416;0
01;01360;SAINT-JEAN-DE-GONVILLE;AIN;637.80823;761.47272;875.70752;1155.8077;0
01;01361;SAINT-JEAN-DE-NIOST;AIN;601.74146;830.43066;1002.7484;1484.4696;0
01;01362;SAINT-JEAN-DE-THURIGNEUX;AIN;347.42709;389.43634;561.30933;554.19043;0
01;01363;SAINT-JEAN-LE-VIEUX;AIN;924.35468;1068.2545;1178.8055;1532.4519;0
01;01364;SAINT-JEAN-SUR-REYSSOUZE;AIN;449.66553;477.57269;572.28406;622.36407;0
01;01365;SAINT-JEAN-SUR-VEYLE;AIN;688.25122;749.68927;811.06439;858.72968;0
01;01366;SAINTE-JULIE;AIN;371.1723;445.5553;633.65021;780.104;0
01;01367;SAINT-JULIEN-SUR-REYSSOUZE;AIN;410.40448;417.17279;545.6662;652.71539;0
01;01368;SAINT-JULIEN-SUR-VEYLE;AIN;392.40115;428.87192;520.24908;577.77966;0
01;01369;SAINT-JUST;AIN;451.70377;630.09747;686.42743;777.383;0
01;01370;SAINT-LAURENT-SUR-SAONE;AIN;1245.3381;1285.6682;1380.6841;1271.0778;0
01;01371;SAINT-MARCEL;AIN;470.03467;719.23206;850.93341;956.99249;0
01;01372;SAINT-MARTIN-DE-BAVEL;AIN;236.41194;270.05716;308.20279;316.81799;0
01;01373;SAINT-MARTIN-DU-FRENE;AIN;592.45044;707.67957;764.67261;875.83411;0
